"Account Name","Vertical","Status","ABC ID","Date"
"Ambassador Hotel - 66578702","Hotels","Cancelled","","11/05/2015 06:57 AM"
"Ambassador Hotel Amarillo","Hotels","Cancelled","","11/05/2015 06:57 AM"
"Ambassador Hotel Milwaukee","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Ambassador Hotel Victorville","Hotels","Cancelled","","11/05/2015 06:55 AM"
"Ambassador Inn Scott","Hotels","Cancelled","","11/05/2015 06:57 AM"
"Ambassador Inn St. George","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Ambassadors Inn Virginia Beach","Hotels","Cancelled","","11/05/2015 07:01 AM"
"Ambassador Travelodge Las Vegas","Hotels","Cancelled","","11/05/2015 06:49 AM"
"AMBVI - Northeast Florida","US Automotive","Tracking","",""
"AMBVI Plattsburgh","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Amelia Hotel at the Beach","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Amelia Hotel at the Beach","Hotels","Cancelled","","11/05/2015 06:45 AM"
"AmercInn Bismarck","Hotels","Cancelled","","11/05/2015 06:46 AM"
"America Best Value Inn Gainesville","Hotels","Cancelled","","11/05/2015 07:01 AM"
"Americamp RV Sales Inc","Powersports","Tracking","",""
"Americana Hotel Arlington - 9262242","Hotels","Cancelled","","11/05/2015 06:45 AM"
"American Chevrolet","US Automotive","Live","","01/22/2014 10:01 AM"
"American Executive Inn Mesa","Hotels","Cancelled","","11/05/2015 06:56 AM"
"American Garden Inn Cortez","Hotels","Cancelled","","11/05/2015 06:54 AM"
"American Holiday Mesa Verde Inn - 16523076","Hotels","Cancelled","","11/05/2015 06:54 AM"
"American Inn and Suites Marianna","Hotels","Cancelled","","11/05/2015 07:01 AM"
"American Inn Cleburne","Hotels","Cancelled","","11/05/2015 06:58 AM"
"American Inn Express Red Bluff - 2768144","Hotels","Cancelled","","09/12/2014 04:04 AM"
"American Inn Independence MO","Hotels","Cancelled","","11/05/2015 06:47 AM"
"American Inn Metter - 66305552","Hotels","Cancelled","","03/27/2015 03:23 AM"
"American Inn MO - 53571528","Hotels","Cancelled","","11/05/2015 07:01 AM"
"American Inn Motel Kansas City - 53829040","Hotels","Cancelled","","11/05/2015 07:01 AM"
